#{"t_start": 1673295797.2929466, "env_id": null}
r,l,t
200,1024,7.47863
0,1024,9.561011
0,1024,11.673321
100,1024,13.707439
0,1024,15.934207
100,1024,18.782949
0,1024,21.634959
100,1024,23.821135
400,1024,25.881862
0,1024,28.99642
0,1024,35.72252
100,1024,42.521092
0,1024,50.829354
0,1024,58.966466
200,1024,66.283128
0,1024,73.080489
0,1024,79.838048
0,1024,86.4826
0,1024,93.104032
200,1024,100.120115
0,1024,107.211028
0,1024,114.070309
0,1024,120.65782
0,1024,127.323397
100,1024,134.469602
300,1024,141.824785
0,1024,148.8871
0,1024,156.059837
0,1024,162.857452
300,1024,169.571939
0,1024,176.228468
300,1024,183.22899
0,1024,191.31521
100,1024,198.071073
300,1024,204.773028
100,1024,211.737164
0,1024,218.569845
100,1024,226.941921
100,1024,234.114603
0,1024,241.387012
200,1024,248.502563
400,1024,255.680599
200,1024,262.498751
200,1024,269.576008
100,1024,276.389555
600,1024,283.380974
400,1024,290.332506
300,1024,297.232926
100,1024,304.122208
200,1024,311.228441
200,1024,317.939944
100,1024,324.559573
200,1024,331.547055
0,1024,338.208562
100,1024,345.171475
300,1024,355.498783
200,1024,365.462016
400,1024,372.624872
1000,1024,379.887481
800,1024,387.596
900,1024,396.308377
1600,1024,404.741562
1300,1024,411.512194
600,1024,418.633148
1900,1024,425.490638
1400,1024,432.45365
1300,1024,439.234155
1500,1024,446.16673
1400,1024,453.655439
2100,1024,460.532394
2400,1024,467.365871
1100,1024,474.0411
1400,1024,480.818127
1800,1024,487.380072
1800,1024,494.016402
1800,1024,500.702191
1100,1024,507.387075
1300,1024,514.040146
1800,1024,520.99204
1200,1024,529.534263
1300,1024,536.634145
1800,1024,543.312395
1800,1024,550.126707
1600,1024,558.483676
2400,1024,565.338259
2000,1024,572.237173
3200,1024,579.268239
2600,1024,586.172846
2800,1024,593.046424
2300,1024,599.852357
2900,1024,606.782493
2400,1024,613.595997
1400,1024,620.53506
1300,1024,627.31873
2700,1024,634.204528
1700,1024,641.170132
2300,1024,648.119947
